<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20010102,230300,114.43,114.43,114.43,114.43,4
USDJPY,20010102,230400,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230500,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230700,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230800,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230900,114.44,114.44,114.44,114.44,4
USDJPY,20010102,231100,114.44,114.45,114.44,114.45,4
USDJPY,20010102,231200,114.45,114.45,114.45,114.45,4
USDJPY,20010102,231300,114.45,114.45,114.43,114.43,4
USDJPY,20010102,231400,114.42,114.42,114.41,114.41,4
USDJPY,20010102,231500,114.41,114.41,114.40,114.40,4
USDJPY,20010102,231600,114.40,114.40,114.39,114.39,4
USDJPY,20010102,232000,114.39,114.39,114.38,114.38,4
USDJPY,20010102,232100,114.38,114.38,114.38,114.38,4
USDJPY,20010102,232200,114.38,114.39,114.38,114.39,4
USDJPY,20010102,232300,114.39,114.39,114.39,114.39,4
USDJPY,20010102,232400,114.40,114.40,114.40,114.40,4
USDJPY,20010102,232500,114.39,114.39,114.38,114.38,4
USDJPY,20010102,232600,114.38,114.38,114.38,114.38,4
USDJPY,20010102,232700,114.38,114.38,114.38,114.38,4
USDJPY,20010102,232800,114.37,114.37,114.37,114.37,4
USDJPY,20010102,232900,114.37,114.38,114.37,114.38,4
USDJPY,20010102,233000,114.38,114.38,114.38,114.38,4
USDJPY,20010102,233100,114.38,114.38,114.38,114.38,4
USDJPY,20010102,233400,114.38,114.39,114.38,114.39,4
USDJPY,20010102,233500,114.40,114.40,114.40,114.40,4
USDJPY,20010102,233600,114.41,114.41,114.41,114.41,4
USDJPY,20010102,233700,114.40,114.40,114.40,114.40,4
USDJPY,20010102,233800,114.39,114.40,114.39,114.40,4
USDJPY,20010102,233900,114.40,114.40,114.39,114.39,4
USDJPY,20010102,234000,114.39,114.39,114.39,114.39,4
USDJPY,20010102,234100,114.39,114.39,114.39,114.39,4
USDJPY,20010102,234200,114.39,114.39,114.39,114.39,4
USDJPY,20010102,234600,114.41,114.41,114.41,114.41,4
USDJPY,20010102,234700,114.41,114.41,114.41,114.41,4
USDJPY,20010102,234800,114.40,114.40,114.40,114.40,4
USDJPY,20010102,235100,114.40,114.40,114.40,114.40,4
USDJPY,20010102,235200,114.40,114.41,114.40,114.41,4
USDJPY,20010102,235300,114.41,114.41,114.40,114.40,4
USDJPY,20010102,235400,114.40,114.40,114.40,114.40,4
USDJPY,20010102,235500,114.40,114.42,114.40,114.42,4
USDJPY,20010102,235600,114.42,114.43,114.42,114.43,4
USDJPY,20010102,235700,114.43,114.43,114.43,114.43,4
USDJPY,20010103,000000,114.42,114.42,114.42,114.42,4
USDJPY,20010103,000300,114.40,114.40,114.40,114.40,4
USDJPY,20010103,000400,114.41,114.43,114.41,114.43,4
USDJPY,20010103,000500,114.43,114.43,114.43,114.43,4
USDJPY,20010103,000600,114.43,114.43,114.43,114.43,4
USDJPY,20010103,000800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,000900,114.43,114.44,114.43,114.44,4
USDJPY,20010103,001000,114.43,114.43,114.43,114.43,4
USDJPY,20010103,001100,114.42,114.44,114.42,114.44,4
USDJPY,20010103,001200,114.43,114.43,114.43,114.43,4
USDJPY,20010103,001300,114.43,114.43,114.43,114.43,4
USDJPY,20010103,001400,114.43,114.44,114.43,114.44,4
USDJPY,20010103,001600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,001700,114.44,114.44,114.42,114.42,4
USDJPY,20010103,001800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,001900,114.42,114.42,114.39,114.39,4
USDJPY,20010103,002000,114.38,114.38,114.36,114.38,4
USDJPY,20010103,002100,114.38,114.38,114.38,114.38,4
USDJPY,20010103,002200,114.38,114.38,114.38,114.38,4
USDJPY,20010103,002300,114.38,114.39,114.38,114.39,4
USDJPY,20010103,002400,114.39,114.39,114.38,114.38,4
USDJPY,20010103,002500,114.37,114.39,114.37,114.39,4
USDJPY,20010103,002600,114.39,114.39,114.39,114.39,4
USDJPY,20010103,002700,114.39,114.42,114.39,114.42,4
USDJPY,20010103,002800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,002900,114.42,114.42,114.42,114.42,4
USDJPY,20010103,003000,114.42,114.43,114.42,114.43,4
USDJPY,20010103,003100,114.43,114.44,114.43,114.44,4
USDJPY,20010103,003200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003300,114.44,114.44,114.44,114.44,4
